GISPROD3OSMPTrailsOSMPOBJECTID,GISPROD3OSMPTrailsOSMPOWNER,GISPROD3OSMPTrailsOSMPBICYCLES,GISPROD3OSMPTrailsOSMPDISPLAY,GISPROD3OSMPTrailsOSMPTRAILTYPE,GISPROD3OSMPTrailsOSMPDATEFROM,GISPROD3OSMPTrailsOSMPDATETO,GISPROD3OSMPTrailsOSMPSEGMENTID,GISPROD3OSMPTrailsOSMPHORSES,GISPROD3OSMPTrailsOSMPRID,GISPROD3OSMPTrailsOSMPTRLID,GISPROD3OSMPTrailsOSMPMILEAGE,GISPROD3OSMPTrailsOSMPMEASUREDFEET,GISPROD3OSMPTrailsOSMPTRAILNAME,GISPROD3OSMPTrailsOSMPGlobalID,GISPROD3OSMPTrailsOSMPDIFFICULTY,GISPROD3OSMPTrailsOSMPDOGS,GISPROD3OSMPTrailsOSMPDOGREGGEN,GISPROD3OSMPTrailsOSMPDOGREGDESC,GISPROD3OSMPTrailClosuresOBJECTID,GISPROD3OSMPTrailClosuresRID,GISPROD3OSMPTrailClosuresCLOSUREDURATION,GISPROD3OSMPTrailClosuresWEBLINK,GISPROD3OSMPTrailClosuresCLOSUREAREA,GISPROD3OSMPTrailClosuresTRAILSTATUS,GISPROD3OSMPTrailClosuresCLOSUREREASON,GISPROD3OSMPTrailClosuresLOCATIONDESCRIPTION,GISPROD3OSMPTrailClosuresCONTACT,GISPROD3OSMPTrailClosuresCOMMENTS,GISPROD3OSMPTrailClosuresGLOBALID,GISPROD3OSMPTrailClosuresSEGMENTID
2697,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,415-647-672,Yes,1152,415,0.235,1217,Mesa Reservoir,{74057701-908C-4C96-A829-3ABB99E9BAED},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1115,1152,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{D2FD2F5F-25B1-47F0-A2BA-CC4438A5BF77},415-647-672
2698,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,410-646-647,Yes,1155,410,0.204,1079,Eagle,{ADC41132-30DA-40EC-BD09-4BF3DFF37BCD},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1116,1155,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{29BFD7AC-F32F-4663-B4F7-F80B6826546D},410-646-647
2699,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,416-646-671,Yes,1158,416,0.274,1438,Degge,{D476CC83-F5B6-443E-B0C0-4D762D7F2251},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1117,1158,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{AC870A0D-88FF-4125-AEC7-1D3514B77AB5},416-646-671
2700,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,410-644-643,Yes,1162,410,0.079,400,Eagle,{BBDDB93D-D055-4B90-B7A1-3A72409067BA},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1118,1162,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{B5BE7E15-AA7C-49D0-A2A1-0C7155F73BD0},410-644-643
2701,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,409-673-654,Yes,1571,409,0.666,3515,Sage,{3B24561A-4C5F-4C6E-BCC3-313DADE101DB},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1119,1571,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{F307D796-5434-40CE-A9A9-B30090434DDD},409-673-654
2702,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,410-643-646,Yes,1617,410,0.522,2755,Eagle,{42979880-5773-41AA-8962-99E5BB58B6AC},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1120,1617,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{4F07ADCB-ED75-4C85-AE22-BC84087AEF78},410-643-646
2703,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,412-643-654,Yes,1618,412,0.891,4734,Cobalt,{0AFF0A22-FBB9-46D3-A92D-817F997F1798},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1121,1618,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{32365F6A-C5FC-44BE-99F1-1A19CB621231},412-643-654
2704,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,409-654-653,Yes,1572,409,0.006,-9999,Sage,{468594E1-1053-4CAC-AE84-3FA4A5599A09},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1122,1572,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{BADB9619-16A4-4584-99C8-6C7BB05533FA},409-654-653
2705,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,410-642-643,Yes,1590,410,0.004,-9999,Eagle,{DBFB8C26-E956-47E7-8B65-20FD4CB2B176},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1123,1590,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{46A6609B-4D2D-4850-A49A-7376327D4F21},410-642-643
2706,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,414-670-672,Yes,1153,414,1.012,5315,Hidden Valley,{3AB48338-94A8-4B99-A628-26DD01EAFA0C},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1124,1153,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{F0E31E6D-1958-403F-8E03-D4DB7FF6C0E1},414-670-672
2707,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,416-670-641,Yes,1156,416,0.408,2154,Degge,{1B5CE4E8-CE89-472A-92AF-16DCF1D4E988},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1125,1156,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{313F2549-3B2C-44A7-AD12-531E3AC39F34},416-670-641
2708,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,416-671-670,Yes,1157,416,0.222,1174,Degge,{9C0B951D-D6A6-48EB-8BE7-865D6731ED96},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1126,1157,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{A343B63B-C2E6-42CC-B361-2B6DF0EBDF70},416-671-670
2709,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,410-640-641,Yes,1159,410,0.009,61,Eagle,{DA6540E1-58C4-4326-B599-77FF3FBCD6E9},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1127,1159,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{A78B9705-CE63-4725-828F-0E5074FE1F31},410-640-641
2710,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,414-642-670,Yes,1160,414,0.234,1225,Hidden Valley,{6AA3CF8A-2653-4695-85E0-02A932B5E91E},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1128,1160,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{FF4EA318-6C9D-4C4C-A87D-FF3A94FE499B},414-642-670
2711,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,410-641-642,Yes,1589,410,0.41,2150,Eagle,{D59943DF-4D46-4D1B-B8D8-D818E941D316},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1129,1589,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{DD40C0F0-1E7B-4B57-B4AB-7BF7A40E4298},410-641-642
2712,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,401-634-635,Yes,1013,401,0.52,2777,Foothills North,{34F75EC5-4F9B-4B95-827A-1504E4B12B58},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1130,1013,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{D403A72B-5C50-44A5-A76F-BC66D3C17136},401-634-635
2713,OSMP,No,Yes,Hiking Trail,2008/03/01 00:00:00+00,2099/12/31 00:00:00+00,402-636-636,Yes,1014,402,1.762,9722,Hogback Ridge,{E0E1F4D6-A701-4638-815A-FD5C75CBEC99},Difficult,No,No Dogs,No Dogs,1131,1014,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{DCA504E1-69BA-4290-B121-2CA0DCFCF40A},402-636-636
2714,OSMP,No,Yes,Hiking Trail,2008/03/01 00:00:00+00,2099/12/31 00:00:00+00,402-636-633,Yes,1027,402,0.038,195,Hogback Ridge,{8ED0F9B6-7A4D-4530-B454-256DF590C707},Easy,No,No Dogs,No Dogs,1132,1027,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{36E62CF3-4CA1-4E8F-AE9A-5BF68E02DE53},402-636-633
